Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-4.16447055162402E-17,6.55581426343069E-17,0.126710454365849,0,0,0,1.27012028561213,0.00407454547284583,1.70217144461307E-20,2.00721692769744E-05,0.00877718974084694,2.16369115604361E-20,0.00471118000553721,0,0,0,0,0,0,package://knighttime_description/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://knighttime_description/meshes/base_link.STL,,base_link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
main_mast,-2.69904669733839E-05,-9.99896965886688E-07,0.522377111502143,0,0,0,2.93521012462161,0.27622236196956,2.66165269670605E-10,-0.000104045614467622,0.271514723325184,-1.14857392516794E-06,0.00662016432728772,0,0,0,0,0,0,package://knighttime_description/meshes/main_mast.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://knighttime_description/meshes/main_mast.STL,,main_mast-1,Origin_base_link_to_main_mast,Axis_base_link_to_main_mast,base_link_to_main_mast,continuous,0,0,0.24511,0,0,0,base_link,0,1,0,,,,,,,,,,,,
second_stage,-3.54992298224833E-16,2.22485749511977E-16,-0.20537398340882,0,0,0,0.836825875518592,0.0207383995013211,-2.4071703608376E-18,6.5182228435467E-18,0.0187889584740115,3.10142844521603E-19,0.00256143928759479,0,0,0,0,0,0,package://knighttime_description/meshes/second_stage.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://knighttime_description/meshes/second_stage.STL,,second_stage-1,Origin_main_mast_to_second_stage,Axis_main_mast_to_second_stage,main_mast_to_second_stage,continuous,0,0,0.8763,0,0,0,main_mast,0,1,0,,,,,,,,,,,,
